Nome do produto,Variante de produto,SKU,Preço,Quantidade,Vendas brutas,Descontos,Impostos,Total de itens
Piston Impaler,Desconhecido,Desconhecido,Desconhecido,14,"R$ 262,66","R$ 53,98","R$ 0,00","R$ 208,68"
Beast of Thunder '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,4,"R$ 213,00","R$ 6,20","R$ 0,00","R$ 206,80"
Eyriebound Imperator(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 210,00","R$ 3,75","R$ 0,00","R$ 206,25"
Infused Pauldron of the Dreadborn Regent,Desconhecido,Desconhecido,Desconhecido,5,"R$ 206,05","R$ 0,00","R$ 0,00","R$ 206,05"
Insatiable Seas,Desconhecido,Desconhecido,Desconhecido,8,"R$ 275,00","R$ 70,18","R$ 0,00","R$ 204,82"
Mask of the Divine Sorrow,Desconhecido,Desconhecido,Desconhecido,5,"R$ 207,76","R$ 4,58","R$ 0,00","R$ 203,18"
Tomo’Kan Footsoldier,Desconhecido,Desconhecido,Desconhecido,6,"R$ 213,00","R$ 10,19","R$ 0,00","R$ 202,81"
Cobra-Ka,Desconhecido,Desconhecido,Desconhecido,3,"R$ 210,60","R$ 10,00","R$ 0,00","R$ 200,60"
Transcendent Path '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 200,00","R$ 0,00","R$ 0,00","R$ 200,00"
Dread Ascendance,Desconhecido,Desconhecido,Desconhecido,1,"R$ 199,99","R$ 0,00","R$ 0,00","R$ 199,99"
Autographed Glaive of Oscilla,Desconhecido,Desconhecido,Desconhecido,11,"R$ 218,66","R$ 19,47","R$ 0,00","R$ 199,19"
Pyrexaec Floe,Desconhecido,Desconhecido,Desconhecido,4,"R$ 203,47","R$ 4,96","R$ 0,00","R$ 198,51"
Grudges of the Gallows Tree '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 198,00","R$ 0,00","R$ 0,00","R$ 198,00"
Claszureme Incursion '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 376,00","R$ 178,00","R$ 0,00","R$ 198,00"
Horror from the Deep (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 202,00","R$ 4,25","R$ 0,00","R$ 197,75"
Hounds of Obsession(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,4,"R$ 200,00","R$ 2,50","R$ 0,00","R$ 197,50"
Autographed Silent Wake,Desconhecido,Desconhecido,Desconhecido,3,"R$ 216,29","R$ 19,64","R$ 0,00","R$ 196,65"
Tyrant of the Veil '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,4,"R$ 199,00","R$ 3,00","R$ 0,00","R$ 196,00"
Golden Staff of Gun-Yu,Desconhecido,Desconhecido,Desconhecido,1,"R$ 197,56","R$ 1,98","R$ 0,00","R$ 195,58"
Verminator,Desconhecido,Desconhecido,Desconhecido,6,"R$ 195,04","R$ 0,87","R$ 0,00","R$ 194,17"
Horror from the Deep '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 203,00","R$ 8,95","R$ 0,00","R$ 194,05"
Bane of the Deathstalkers - Back (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 196,20","R$ 2,34","R$ 0,00","R$ 193,86"
Starforge Reformer,Desconhecido,Desconhecido,Desconhecido,6,"R$ 195,30","R$ 2,92","R$ 0,00","R$ 192,38"
Hydrakan Latch,Desconhecido,Desconhecido,Desconhecido,16,"R$ 246,56","R$ 54,79","R$ 0,00","R$ 191,77"
Mantle of the Whispered Bond,Desconhecido,Desconhecido,Desconhecido,18,"R$ 207,82","R$ 16,88","R$ 0,00","R$ 190,94"
Igneous Infernal,Desconhecido,Desconhecido,Desconhecido,6,"R$ 215,00","R$ 25,00","R$ 0,00","R$ 190,00"
Shackles of the Enduring Conscript,Desconhecido,Desconhecido,Desconhecido,1,"R$ 189,00","R$ 0,00","R$ 0,00","R$ 189,00"
The Hallows Within,Desconhecido,Desconhecido,Desconhecido,5,"R$ 244,55","R$ 56,04","R$ 0,00","R$ 188,51"
Trophies of the Hallowed Hunt '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 191,00","R$ 2,90","R$ 0,00","R$ 188,10"
The Chained Scribe '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 190,00","R$ 2,65","R$ 0,00","R$ 187,35"
Steward of the Forbidden Chamber (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 192,00","R$ 5,30","R$ 0,00","R$ 186,70"
Fractal Horns of Inner Abysm,Cores: Light Green,Desconhecido,Desconhecido,1,"R$ 186,00","R$ 0,00","R$ 0,00","R$ 186,00"
Chines of the Inquisitor,Desconhecido,Desconhecido,Desconhecido,1,"R$ 185,72","R$ 0,00","R$ 0,00","R$ 185,72"
Fin King's Charm,Desconhecido,Desconhecido,Desconhecido,21,"R$ 229,53","R$ 43,95","R$ 0,00","R$ 185,58"
Manifold Paradox LVL1,Desconhecido,Desconhecido,Desconhecido,2,"R$ 184,00","R$ 0,00","R$ 0,00","R$ 184,00"
Announcer: Rick and Morty,Desconhecido,Desconhecido,Desconhecido,7,"R$ 203,78","R$ 20,31","R$ 0,00","R$ 183,47"
World Chasm Artifact,Desconhecido,Desconhecido,Desconhecido,9,"R$ 285,83","R$ 103,84","R$ 0,00","R$ 181,99"
Ancestral Heritage,Desconhecido,Desconhecido,Desconhecido,4,"R$ 197,73","R$ 18,31","R$ 0,00","R$ 179,42"
Grand Suppressor '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 179,00","R$ 0,00","R$ 0,00","R$ 179,00"
Peregrine Flight,Desconhecido,Desconhecido,Desconhecido,32,"R$ 211,65","R$ 33,57","R$ 0,00","R$ 178,08"
Provocation of Ruin Sword,Desconhecido,Desconhecido,Desconhecido,2,"R$ 186,40","R$ 9,32","R$ 0,00","R$ 177,08"
Grudges of the Gallows Tree (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 180,00","R$ 3,00","R$ 0,00","R$ 177,00"
Muh Keen Gun,Desconhecido,Desconhecido,Desconhecido,16,"R$ 294,36","R$ 117,97","R$ 0,00","R$ 176,39"
Fetters of Omniscience,Desconhecido,Desconhecido,Desconhecido,4,"R$ 297,54","R$ 122,77","R$ 0,00","R$ 174,77"
Pyrexae Polymorph Perfected '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 174,00","R$ 0,00","R$ 0,00","R$ 174,00"
The Abscesserator Bundle,Desconhecido,Desconhecido,Desconhecido,6,"R$ 177,75","R$ 4,66","R$ 0,00","R$ 173,09"
Fissured Flight,Desconhecido,Desconhecido,Desconhecido,1,"R$ 172,91","R$ 0,00","R$ 0,00","R$ 172,91"
Carousal of the Mystic Masquerade,Desconhecido,Desconhecido,Desconhecido,1,"R$ 172,89","R$ 0,00","R$ 0,00","R$ 172,89"
Blue Horizons '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 172,00","R$ 0,00","R$ 0,00","R$ 172,00"
Riddle of the Hierophant,Desconhecido,Desconhecido,Desconhecido,1,"R$ 172,00","R$ 0,00","R$ 0,00","R$ 172,00"
Silence of the Starweaver '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 174,00","R$ 2,15","R$ 0,00","R$ 171,85"
Tines of Tybara,Desconhecido,Desconhecido,Desconhecido,15,"R$ 221,53","R$ 50,70","R$ 0,00","R$ 170,83"
Sword of the Outland Ravager,Desconhecido,Desconhecido,Desconhecido,2,"R$ 171,35","R$ 1,83","R$ 0,00","R$ 169,52"
Scarlet Subversion '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 174,00","R$ 5,80","R$ 0,00","R$ 168,20"
Crescent Huntress '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 167,00","R$ 0,00","R$ 0,00","R$ 167,00"
Sea Spirit '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 191,00","R$ 24,10","R$ 0,00","R$ 166,90"
Inscribed Golden Basher of Mage Skulls,Desconhecido,Desconhecido,Desconhecido,4,"R$ 173,50","R$ 6,65","R$ 0,00","R$ 166,85"
Talons of the Endless Storm (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 169,30","R$ 2,50","R$ 0,00","R$ 166,80"
Silent Wight,Desconhecido,Desconhecido,Desconhecido,1,"R$ 171,69","R$ 5,15","R$ 0,00","R$ 166,54"
Forgotten Fate,Desconhecido,Desconhecido,Desconhecido,1,"R$ 169,03","R$ 3,38","R$ 0,00","R$ 165,65"
Pyrexae Polymorph Perfected(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 174,00","R$ 8,70","R$ 0,00","R$ 165,30"
Forbidden Medicine,Desconhecido,Desconhecido,Desconhecido,1,"R$ 165,00","R$ 0,00","R$ 0,00","R$ 165,00"
Hellborn Grasp,Desconhecido,Desconhecido,Desconhecido,6,"R$ 211,72","R$ 46,80","R$ 0,00","R$ 164,92"
Ancestral Heritage '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 167,00","R$ 2,30","R$ 0,00","R$ 164,70"
Golden Offhand Basher of Mage Skulls,Desconhecido,Desconhecido,Desconhecido,5,"R$ 172,86","R$ 8,64","R$ 0,00","R$ 164,22"
Genuine Lamb to the Slaughter,Desconhecido,Desconhecido,Desconhecido,3,"R$ 173,73","R$ 10,47","R$ 0,00","R$ 163,26"
Tales of the Windward Rogue,Desconhecido,Desconhecido,Desconhecido,1,"R$ 163,00","R$ 0,00","R$ 0,00","R$ 163,00"
Ancient Inheritance,Desconhecido,Desconhecido,Desconhecido,1,"R$ 162,35","R$ 0,00","R$ 0,00","R$ 162,35"
Sacred Chamber Guardian '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 164,00","R$ 3,29","R$ 0,00","R$ 160,71"
Astral Drift,Desconhecido,Desconhecido,Desconhecido,6,"R$ 176,98","R$ 16,37","R$ 0,00","R$ 160,61"
Arcane Inverter,Desconhecido,Desconhecido,Desconhecido,1,"R$ 165,09","R$ 4,95","R$ 0,00","R$ 160,14"
Sacred Chamber Guardian,Desconhecido,Desconhecido,Desconhecido,2,"R$ 164,95","R$ 4,87","R$ 0,00","R$ 160,08"
Inscribed Reaper's Wreath,Desconhecido,Desconhecido,Desconhecido,5,"R$ 164,79","R$ 4,77","R$ 0,00","R$ 160,02"
Genuine Bloodfeather Wings,Desconhecido,Desconhecido,Desconhecido,5,"R$ 177,37","R$ 18,30","R$ 0,00","R$ 159,07"
Litany of the Damned,Desconhecido,Desconhecido,Desconhecido,1,"R$ 159,00","R$ 0,00","R$ 0,00","R$ 159,00"
Transcendent Path,Desconhecido,Desconhecido,Desconhecido,1,"R$ 158,97","R$ 0,00","R$ 0,00","R$ 158,97"
Etienne's Revenge,Desconhecido,Desconhecido,Desconhecido,8,"R$ 222,12","R$ 63,24","R$ 0,00","R$ 158,88"
Silence of the Starweaver,Desconhecido,Desconhecido,Desconhecido,2,"R$ 224,00","R$ 65,70","R$ 0,00","R$ 158,30"
Mechamancer,Desconhecido,Desconhecido,Desconhecido,1,"R$ 175,00","R$ 16,83","R$ 0,00","R$ 158,17"
Songs of Starfall Glen '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,4,"R$ 160,00","R$ 2,10","R$ 0,00","R$ 157,90"
Inscribed Sullen Hollow,Desconhecido,Desconhecido,Desconhecido,3,"R$ 163,08","R$ 5,68","R$ 0,00","R$ 157,40"
Arcane Inverter (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 161,00","R$ 4,30","R$ 0,00","R$ 156,70"
Golden Basher of Mage Skulls,Desconhecido,Desconhecido,Desconhecido,4,"R$ 164,32","R$ 8,22","R$ 0,00","R$ 156,10"
Silent Slayer (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 160,00","R$ 4,00","R$ 0,00","R$ 156,00"
Secrets of the Celestial (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 158,00","R$ 2,90","R$ 0,00","R$ 155,10"
Inscribed Hellborn Grasp,Desconhecido,Desconhecido,Desconhecido,5,"R$ 156,25","R$ 1,18","R$ 0,00","R$ 155,07"
Forlorn Descent,Desconhecido,Desconhecido,Desconhecido,1,"R$ 155,03","R$ 0,00","R$ 0,00","R$ 155,03"
Withering Pain '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 155,00","R$ 0,00","R$ 0,00","R$ 155,00"
International 2024 Versus Screen,Desconhecido,Desconhecido,Desconhecido,2,"R$ 165,89","R$ 11,30","R$ 0,00","R$ 154,59"
Blade of the Demonic Vessel,Desconhecido,Desconhecido,Desconhecido,5,"R$ 168,63","R$ 14,09","R$ 0,00","R$ 154,54"
Tales of the Windward Rogue (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 158,00","R$ 3,95","R$ 0,00","R$ 154,05"
Origin of the Unmaking,Desconhecido,Desconhecido,Desconhecido,3,"R$ 153,74","R$ 0,00","R$ 0,00","R$ 153,74"
Wrath of the Fallen (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 156,00","R$ 2,50","R$ 0,00","R$ 153,50"
Golden Basher Blades,Desconhecido,Desconhecido,Desconhecido,2,"R$ 154,84","R$ 1,90","R$ 0,00","R$ 152,94"
Secrets of the Frost Singularity(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 158,00","R$ 5,40","R$ 0,00","R$ 152,60"
Red Sands Marauder,Desconhecido,Desconhecido,Desconhecido,1,"R$ 174,27","R$ 22,08","R$ 0,00","R$ 152,19"
Twilight Hex,Desconhecido,Desconhecido,Desconhecido,1,"R$ 155,00","R$ 3,10","R$ 0,00","R$ 151,90"
Inscribed The Devotions of Dragonus - Wings,Desconhecido,Desconhecido,Desconhecido,1,"R$ 151,49","R$ 0,00","R$ 0,00","R$ 151,49"
Darkfeather Factioneer '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 150,00","R$ 0,00","R$ 0,00","R$ 150,00"
Days of the Demon (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 150,00","R$ 0,00","R$ 0,00","R$ 150,00"
Hunter's Hoard,Desconhecido,Desconhecido,Desconhecido,4,"R$ 151,89","R$ 2,52","R$ 0,00","R$ 149,37"
Fires of the Volcanic Guard,Desconhecido,Desconhecido,Desconhecido,1,"R$ 149,00","R$ 0,00","R$ 0,00","R$ 149,00"
Darkfeather Factioneer(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 150,00","R$ 1,00","R$ 0,00","R$ 149,00"
Jewel of Aeons,Desconhecido,Desconhecido,Desconhecido,22,"R$ 163,57","R$ 14,81","R$ 0,00","R$ 148,76"
Dark Artistry Hair,Desconhecido,Desconhecido,Desconhecido,2,"R$ 156,00","R$ 7,80","R$ 0,00","R$ 148,20"
Inscribed Blade of Tears,Desconhecido,Desconhecido,Desconhecido,1,"R$ 150,28","R$ 2,24","R$ 0,00","R$ 148,04"
Mandate of the Stormborn,Desconhecido,Desconhecido,Desconhecido,16,"R$ 181,46","R$ 34,25","R$ 0,00","R$ 147,21"
Dipper the Destroyer Bundle,Desconhecido,Desconhecido,Desconhecido,10,"R$ 186,88","R$ 39,74","R$ 0,00","R$ 147,14"
Mulctant Pall,Desconhecido,Desconhecido,Desconhecido,4,"R$ 238,01","R$ 91,22","R$ 0,00","R$ 146,79"
Genuine Eternal Radiance Blades,Desconhecido,Desconhecido,Desconhecido,1,"R$ 146,30","R$ 0,00","R$ 0,00","R$ 146,30"
Dipper the Destroyer,Desconhecido,Desconhecido,Desconhecido,13,"R$ 167,42","R$ 21,16","R$ 0,00","R$ 146,26"
Crown of Calaphas,Desconhecido,Desconhecido,Desconhecido,1,"R$ 149,00","R$ 2,98","R$ 0,00","R$ 146,02"
Transcendent Path(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,5,"R$ 146,00","R$ 0,00","R$ 0,00","R$ 146,00"
Autographed Reaper's Wreath,Desconhecido,Desconhecido,Desconhecido,5,"R$ 146,44","R$ 0,62","R$ 0,00","R$ 145,82"
Fractal Horns of Inner Abysm,Cor: Explosive Burst,Desconhecido,Desconhecido,1,"R$ 146,28","R$ 0,90","R$ 0,00","R$ 145,38"
Origins of Faith,Desconhecido,Desconhecido,Desconhecido,7,"R$ 150,04","R$ 4,77","R$ 0,00","R$ 145,27"
Scree'auk's Talon,Desconhecido,Desconhecido,Desconhecido,3,"R$ 147,89","R$ 2,75","R$ 0,00","R$ 145,14"
Ravenous Abyss Loading Screen,Desconhecido,Desconhecido,Desconhecido,1,"R$ 145,00","R$ 0,00","R$ 0,00","R$ 145,00"
Creed of the Skullhound(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 145,00","R$ 0,00","R$ 0,00","R$ 145,00"
The King Of Thieves,Desconhecido,Desconhecido,Desconhecido,1,"R$ 144,65","R$ 0,00","R$ 0,00","R$ 144,65"
Fractal Horns of Inner Abysm,Gemas Prismáticas: Explosão Bombástica,Desconhecido,Desconhecido,1,"R$ 144,60","R$ 0,00","R$ 0,00","R$ 144,60"
Dam'arakan Muzzle,Desconhecido,Desconhecido,Desconhecido,3,"R$ 169,73","R$ 25,30","R$ 0,00","R$ 144,43"
Loaded Prospects,Desconhecido,Desconhecido,Desconhecido,1,"R$ 144,28","R$ 0,00","R$ 0,00","R$ 144,28"
Secrets of the Celestial,Desconhecido,Desconhecido,Desconhecido,1,"R$ 146,89","R$ 2,64","R$ 0,00","R$ 144,25"
Desert Burn,Desconhecido,Desconhecido,Desconhecido,1,"R$ 146,63","R$ 2,93","R$ 0,00","R$ 143,70"
Glory of the Elderflame,Desconhecido,Desconhecido,Desconhecido,1,"R$ 169,00","R$ 25,35","R$ 0,00","R$ 143,65"
Songs of Starfall Glen (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,4,"R$ 143,00","R$ 0,00","R$ 0,00","R$ 143,00"
Apocalypse Unbound,Desconhecido,Desconhecido,Desconhecido,1,"R$ 142,85","R$ 0,00","R$ 0,00","R$ 142,85"
Genuine Blade of Tears,Desconhecido,Desconhecido,Desconhecido,1,"R$ 142,25","R$ 0,00","R$ 0,00","R$ 142,25"
Inscribed Swift Claw,Desconhecido,Desconhecido,Desconhecido,3,"R$ 143,27","R$ 1,40","R$ 0,00","R$ 141,87"
Perception of the First Light,Desconhecido,Desconhecido,Desconhecido,2,"R$ 143,85","R$ 2,88","R$ 0,00","R$ 140,97"
Inscribed Fractal Horns of Inner Abysm,Desconhecido,Desconhecido,Desconhecido,1,"R$ 148,23","R$ 7,41","R$ 0,00","R$ 140,82"
Visions of the Lifted Veil '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 148,00","R$ 7,40","R$ 0,00","R$ 140,60"
Sylvan Cascade,Desconhecido,Desconhecido,Desconhecido,17,"R$ 166,56","R$ 27,21","R$ 0,00","R$ 139,35"
Directive of the Sunbound '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 136,00","R$ 0,00","R$ 0,00","R$ 136,00"
Thirst of Eztzhok Blade,Desconhecido,Desconhecido,Desconhecido,6,"R$ 167,34","R$ 31,66","R$ 0,00","R$ 135,68"
Svarog the Infernal,Desconhecido,Desconhecido,Desconhecido,5,"R$ 163,80","R$ 28,35","R$ 0,00","R$ 135,45"
Primal Paean,Desconhecido,Desconhecido,Desconhecido,9,"R$ 159,26","R$ 24,17","R$ 0,00","R$ 135,09"
Exalted Fractal Horns of Inner Abysm,Desconhecido,Desconhecido,Desconhecido,1,"R$ 135,00","R$ 0,00","R$ 0,00","R$ 135,00"
Astral Herald '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 138,00","R$ 3,15","R$ 0,00","R$ 134,85"
Souls Tyrant (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 134,00","R$ 0,00","R$ 0,00","R$ 134,00"
Scales of the Shadow Walker '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 140,00","R$ 6,50","R$ 0,00","R$ 133,50"
Dread of Night,Desconhecido,Desconhecido,Desconhecido,5,"R$ 160,20","R$ 27,30","R$ 0,00","R$ 132,90"
Spring Lineage Pauldrons of Eternal Harvest,Desconhecido,Desconhecido,Desconhecido,2,"R$ 136,00","R$ 3,40","R$ 0,00","R$ 132,60"
Caerulean Star,Desconhecido,Desconhecido,Desconhecido,1,"R$ 132,00","R$ 0,00","R$ 0,00","R$ 132,00"
Jagged Honor Blade,Desconhecido,Desconhecido,Desconhecido,2,"R$ 136,11","R$ 4,25","R$ 0,00","R$ 131,86"
Inscribed Golden Offhand Basher of Mage Skulls,Desconhecido,Desconhecido,Desconhecido,4,"R$ 135,85","R$ 5,05","R$ 0,00","R$ 130,80"
The Molten Fist,Desconhecido,Desconhecido,Desconhecido,5,"R$ 131,60","R$ 1,10","R$ 0,00","R$ 130,50"
Inverse Bayonet,Desconhecido,Desconhecido,Desconhecido,5,"R$ 133,85","R$ 3,50","R$ 0,00","R$ 130,35"
Vile Vessel,Desconhecido,Desconhecido,Desconhecido,2,"R$ 130,00","R$ 0,00","R$ 0,00","R$ 130,00"
Unusual Northern Blight Style,Desconhecido,Desconhecido,Desconhecido,1,"R$ 132,84","R$ 3,24","R$ 0,00","R$ 129,60"
Fate Meridian '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 136,00","R$ 6,80","R$ 0,00","R$ 129,20"
Cursed Cryptbreaker,Desconhecido,Desconhecido,Desconhecido,1,"R$ 128,99","R$ 0,00","R$ 0,00","R$ 128,99"
Cult of Aktok,Desconhecido,Desconhecido,Desconhecido,8,"R$ 136,64","R$ 8,05","R$ 0,00","R$ 128,59"
Tendrils of the Timeless,Desconhecido,Desconhecido,Desconhecido,4,"R$ 129,60","R$ 1,30","R$ 0,00","R$ 128,30"
Staff of the Demon Trickster,Desconhecido,Desconhecido,Desconhecido,6,"R$ 165,31","R$ 37,25","R$ 0,00","R$ 128,06"
Orbuculum Equinox,Desconhecido,Desconhecido,Desconhecido,1,"R$ 127,15","R$ 0,00","R$ 0,00","R$ 127,15"
Autographed Manifold Paradox,Desconhecido,Desconhecido,Desconhecido,1,"R$ 128,73","R$ 2,57","R$ 0,00","R$ 126,16"
March of the Crackerjack Mage '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 126,00","R$ 0,00","R$ 0,00","R$ 126,00"
Elder Timebreaker,Desconhecido,Desconhecido,Desconhecido,1,"R$ 125,00","R$ 0,00","R$ 0,00","R$ 125,00"
Inscribed Fiery Soul of the Slayer,Desconhecido,Desconhecido,Desconhecido,1,"R$ 124,20","R$ 0,00","R$ 0,00","R$ 124,20"
Infused Blade of the Fractured Order,Desconhecido,Desconhecido,Desconhecido,2,"R$ 124,82","R$ 1,24","R$ 0,00","R$ 123,58"
Eyriebound Imperator,Desconhecido,Desconhecido,Desconhecido,1,"R$ 136,00","R$ 13,60","R$ 0,00","R$ 122,40"
Mecha Nyx,Desconhecido,Desconhecido,Desconhecido,4,"R$ 122,20","R$ 0,00","R$ 0,00","R$ 122,20"
The Arts of Mortal Deception,Desconhecido,Desconhecido,Desconhecido,1,"R$ 122,19","R$ 0,00","R$ 0,00","R$ 122,19"
The Sunbreeze Birthright,Desconhecido,Desconhecido,Desconhecido,5,"R$ 132,38","R$ 10,91","R$ 0,00","R$ 121,47"
Baby Roshan,Desconhecido,Desconhecido,Desconhecido,3,"R$ 131,04","R$ 10,00","R$ 0,00","R$ 121,04"
War Rig Eradicators '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 121,00","R$ 0,00","R$ 0,00","R$ 121,00"
Test of the Basilisk Lord(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 120,00","R$ 0,00","R$ 0,00","R$ 120,00"
Blades of the Foulfell Corruptor,Desconhecido,Desconhecido,Desconhecido,2,"R$ 147,07","R$ 27,65","R$ 0,00","R$ 119,42"
Inscribed Piston Impaler,Desconhecido,Desconhecido,Desconhecido,8,"R$ 122,77","R$ 3,87","R$ 0,00","R$ 118,90"
Action Figure,Modelo: Crystal Maiden,Desconhecido,Desconhecido,2,"R$ 118,90","R$ 0,00","R$ 0,00","R$ 118,90"
The Hallows Within Tombstone,Desconhecido,Desconhecido,Desconhecido,4,"R$ 147,48","R$ 29,08","R$ 0,00","R$ 118,40"
Fury of the Righteous Storm '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 120,00","R$ 2,07","R$ 0,00","R$ 117,93"
Phantom Balladeer,Desconhecido,Desconhecido,Desconhecido,4,"R$ 120,40","R$ 2,50","R$ 0,00","R$ 117,90"
Radiant Conqueror Back,Desconhecido,Desconhecido,Desconhecido,1,"R$ 117,00","R$ 0,00","R$ 0,00","R$ 117,00"
Orb of Deliverance,Desconhecido,Desconhecido,Desconhecido,14,"R$ 128,19","R$ 11,23","R$ 0,00","R$ 116,96"
Exalted Feast of Abscession LVL 2,Desconhecido,Desconhecido,Desconhecido,1,"R$ 116,33","R$ 0,00","R$ 0,00","R$ 116,33"
Helm of the Ardalan Interdictor,Desconhecido,Desconhecido,Desconhecido,2,"R$ 118,00","R$ 1,77","R$ 0,00","R$ 116,23"
Claddish Cudgel,Desconhecido,Desconhecido,Desconhecido,3,"R$ 152,00","R$ 35,97","R$ 0,00","R$ 116,03"
Wrath of the Fallen '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 116,00","R$ 0,00","R$ 0,00","R$ 116,00"
Pitmouse Fraternity,Desconhecido,Desconhecido,Desconhecido,1,"R$ 116,00","R$ 0,00","R$ 0,00","R$ 116,00"
Appetites of the Lizard King '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 122,00","R$ 6,10","R$ 0,00","R$ 115,90"
War Rig Eradicators,Desconhecido,Desconhecido,Desconhecido,1,"R$ 117,98","R$ 2,52","R$ 0,00","R$ 115,46"
Inscribed The Lightning Orchid,Desconhecido,Desconhecido,Desconhecido,13,"R$ 149,58","R$ 34,12","R$ 0,00","R$ 115,46"
Ripper's Reel,Desconhecido,Desconhecido,Desconhecido,11,"R$ 150,49","R$ 35,36","R$ 0,00","R$ 115,13"
Pale Mausoleum,Desconhecido,Desconhecido,Desconhecido,7,"R$ 155,55","R$ 40,49","R$ 0,00","R$ 115,06"
Red Sands Marauder (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,2,"R$ 117,00","R$ 2,85","R$ 0,00","R$ 114,15"
Ire of the Ancient Gaoler '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 114,00","R$ 0,00","R$ 0,00","R$ 114,00"
Sublime Equilibrium(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 114,00","R$ 0,00","R$ 0,00","R$ 114,00"
Alluvion Prophecy,Desconhecido,Desconhecido,Desconhecido,7,"R$ 115,65","R$ 2,14","R$ 0,00","R$ 113,51"
Auspicious Blades of Voth Domosh,Desconhecido,Desconhecido,Desconhecido,1,"R$ 162,00","R$ 50,00","R$ 0,00","R$ 112,00"
