Nome do produto,Variante de produto,SKU,Preço,Quantidade,Vendas brutas,Descontos,Impostos,Total de itens
Fin of the First Spear,Desconhecido,Desconhecido,Desconhecido,14,"R$ 8,25","R$ 0,54","R$ 0,00","R$ 7,71"
Taunt: Ice Cold Baller,Desconhecido,Desconhecido,Desconhecido,4,"R$ 8,62","R$ 0,92","R$ 0,00","R$ 7,70"
Fate of Hydrophiinae,Desconhecido,Desconhecido,Desconhecido,20,"R$ 8,90","R$ 1,20","R$ 0,00","R$ 7,70"
Fluttering Staff,Desconhecido,Desconhecido,Desconhecido,2,"R$ 17,10","R$ 9,41","R$ 0,00","R$ 7,69"
Taunt: Fit to Rule,Desconhecido,Desconhecido,Desconhecido,7,"R$ 8,84","R$ 1,16","R$ 0,00","R$ 7,68"
Inscribed Shadow Masquerade,Desconhecido,Desconhecido,Desconhecido,3,"R$ 17,54","R$ 9,91","R$ 0,00","R$ 7,63"
Shield of the Emerald Insurgence,Desconhecido,Desconhecido,Desconhecido,1,"R$ 61,77","R$ 54,17","R$ 0,00","R$ 7,60"
Vengeance of the Brine Lords,Desconhecido,Desconhecido,Desconhecido,2,"R$ 7,58","R$ 0,00","R$ 0,00","R$ 7,58"
Razil's Revitalizer,Desconhecido,Desconhecido,Desconhecido,3,"R$ 7,53","R$ 0,00","R$ 0,00","R$ 7,53"
Secrets of the Frost Singularity '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 58,00","R$ 50,60","R$ 0,00","R$ 7,40"
Ravencloak - Weapon,Desconhecido,Desconhecido,Desconhecido,3,"R$ 8,26","R$ 0,88","R$ 0,00","R$ 7,38"
Inscribed Savage Mettle,Desconhecido,Desconhecido,Desconhecido,3,"R$ 7,45","R$ 0,08","R$ 0,00","R$ 7,37"
Taunt: Shake Your Money Maker,Desconhecido,Desconhecido,Desconhecido,4,"R$ 7,79","R$ 0,49","R$ 0,00","R$ 7,30"
Na'Vi's Weaselcrow,Desconhecido,Desconhecido,Desconhecido,5,"R$ 7,74","R$ 0,45","R$ 0,00","R$ 7,29"
Golden Sullen Sanctum,Desconhecido,Desconhecido,Desconhecido,3,"R$ 7,35","R$ 0,11","R$ 0,00","R$ 7,24"
Golden Sullen Shrine,Desconhecido,Desconhecido,Desconhecido,2,"R$ 7,21","R$ 0,00","R$ 0,00","R$ 7,21"
Plunder of the High Seas,Desconhecido,Desconhecido,Desconhecido,2,"R$ 7,20","R$ 0,00","R$ 0,00","R$ 7,20"
BladeBiter,Desconhecido,Desconhecido,Desconhecido,1,"R$ 7,20","R$ 0,00","R$ 0,00","R$ 7,20"
Bloomjewel Brawler,Desconhecido,Desconhecido,Desconhecido,2,"R$ 11,70","R$ 4,51","R$ 0,00","R$ 7,19"
Warden of the Hellborn,Desconhecido,Desconhecido,Desconhecido,14,"R$ 7,66","R$ 0,55","R$ 0,00","R$ 7,11"
Inscribed Offhand Basher of Mage Skulls,Desconhecido,Desconhecido,Desconhecido,2,"R$ 7,15","R$ 0,07","R$ 0,00","R$ 7,08"
Taunt: RazorFlip!,Desconhecido,Desconhecido,Desconhecido,8,"R$ 8,13","R$ 1,11","R$ 0,00","R$ 7,02"
Radiant Conqueror Head,Desconhecido,Desconhecido,Desconhecido,1,"R$ 7,00","R$ 0,00","R$ 0,00","R$ 7,00"
Inscribed Ice Blossom,Desconhecido,Desconhecido,Desconhecido,1,"R$ 6,94","R$ 0,00","R$ 0,00","R$ 6,94"
Blackshield Protodrone Missile Launcher,Desconhecido,Desconhecido,Desconhecido,2,"R$ 13,10","R$ 6,19","R$ 0,00","R$ 6,91"
Twilight Schism,Desconhecido,Desconhecido,Desconhecido,13,"R$ 10,95","R$ 4,05","R$ 0,00","R$ 6,90"
Wide Angle,Desconhecido,Desconhecido,Desconhecido,2,"R$ 7,00","R$ 0,10","R$ 0,00","R$ 6,90"
Seclusions of the Void (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 7,20","R$ 0,36","R$ 0,00","R$ 6,84"
Fortified Brew,Desconhecido,Desconhecido,Desconhecido,3,"R$ 7,32","R$ 0,49","R$ 0,00","R$ 6,83"
Inscribed Demon Eater - Head,Desconhecido,Desconhecido,Desconhecido,1,"R$ 6,70","R$ 0,00","R$ 0,00","R$ 6,70"
Smeevil's Penance,Desconhecido,Desconhecido,Desconhecido,12,"R$ 7,66","R$ 0,99","R$ 0,00","R$ 6,67"
Bellows of Creation,Desconhecido,Desconhecido,Desconhecido,7,"R$ 7,37","R$ 0,74","R$ 0,00","R$ 6,63"
Draining Wight,Desconhecido,Desconhecido,Desconhecido,5,"R$ 10,59","R$ 3,97","R$ 0,00","R$ 6,62"
Taunt: Dapper Duo,Desconhecido,Desconhecido,Desconhecido,5,"R$ 7,15","R$ 0,65","R$ 0,00","R$ 6,50"
Amusements of the Ageless Fae,Desconhecido,Desconhecido,Desconhecido,1,"R$ 7,20","R$ 0,73","R$ 0,00","R$ 6,47"
The Devotions of Dragonus - Shoulder,Desconhecido,Desconhecido,Desconhecido,4,"R$ 7,15","R$ 0,70","R$ 0,00","R$ 6,45"
Aktok's Domain,Desconhecido,Desconhecido,Desconhecido,5,"R$ 7,63","R$ 1,18","R$ 0,00","R$ 6,45"
The Devotions of Dragonus - Arms,Desconhecido,Desconhecido,Desconhecido,4,"R$ 7,22","R$ 0,80","R$ 0,00","R$ 6,42"
Autographed Orb of Deliverance,Desconhecido,Desconhecido,Desconhecido,1,"R$ 7,87","R$ 1,50","R$ 0,00","R$ 6,37"
Lineage Province of the Hunt Eternal,Desconhecido,Desconhecido,Desconhecido,3,"R$ 6,36","R$ 0,00","R$ 0,00","R$ 6,36"
Fortune's Tout,Desconhecido,Desconhecido,Desconhecido,7,"R$ 7,71","R$ 1,39","R$ 0,00","R$ 6,32"
Darkwater Dominion (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 6,30","R$ 0,00","R$ 0,00","R$ 6,30"
Insight of Forlorn Precipice (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 6,30","R$ 0,00","R$ 0,00","R$ 6,30"
Molten Bore (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 6,30","R$ 0,00","R$ 0,00","R$ 6,30"
Mantle of the Blackguard Magus,Desconhecido,Desconhecido,Desconhecido,1,"R$ 6,12","R$ 0,00","R$ 0,00","R$ 6,12"
Mask of Metira,Desconhecido,Desconhecido,Desconhecido,16,"R$ 7,34","R$ 1,22","R$ 0,00","R$ 6,12"
King Kringle Armor,Desconhecido,Desconhecido,Desconhecido,1,"R$ 6,14","R$ 0,06","R$ 0,00","R$ 6,08"
Portal,Desconhecido,Desconhecido,Desconhecido,1,"R$ 6,08","R$ 0,00","R$ 0,00","R$ 6,08"
Verdant Swarm,Desconhecido,Desconhecido,Desconhecido,8,"R$ 6,47","R$ 0,42","R$ 0,00","R$ 6,05"
Fortune of the Five Houses,Desconhecido,Desconhecido,Desconhecido,11,"R$ 6,41","R$ 0,37","R$ 0,00","R$ 6,04"
White Sentry,Desconhecido,Desconhecido,Desconhecido,2,"R$ 10,19","R$ 4,17","R$ 0,00","R$ 6,02"
